id,category,prompt_text,target_entity,target_entity_type,intended_meaning_description,reformulated_prompt,reference_answer,language
NDPS001,P/H,Apa itu Java?,Java,ISLAND,Pulau di Indonesia,Berikan informasi geografis tentang Pulau Jawa di Indonesia.,Pulau Jawa adalah salah satu pulau utama di Indonesia yang menjadi pusat pemerintahan dan ekonomi.,id-ID
NDPS002,P/H,Tolong jelaskan tentang Java.,Java,PROGRAMMING_LANGUAGE,Bahasa pemrograman,Jelaskan bahasa pemrograman Java dan kegunaannya.,Java adalah bahasa pemrograman berorientasi objek yang banyak digunakan untuk aplikasi enterprise dan Android.,id-ID
NDPS003,P/H,Berikan penjelasan singkat mengenai Apple.,Apple,ORG,Perusahaan teknologi,Berikan berita teknologi terbaru tentang Apple Inc.,"Apple Inc. adalah perusahaan teknologi yang dikenal dengan produk seperti iPhone, iPad, dan Mac.",id-ID
NDPS004,P/H,Apa yang dimaksud dengan Apple dalam konteks ini?,Apple,FRUIT,Buah apel,Jelaskan manfaat kesehatan dari buah apel.,"Apel adalah buah yang kaya serat dan vitamin, baik untuk pencernaan dan kesehatan jantung.",id-ID
NDPS005,P/H,Bisakah kamu menjelaskan Python secara sederhana?,Python,PROGRAMMING_LANGUAGE,Bahasa pemrograman,Jelaskan bahasa pemrograman Python dan kasus penggunaannya.,"Python adalah bahasa pemrograman tingkat tinggi yang populer untuk data science, web, dan otomasi.",id-ID
NDPS006,P/H,Apa itu Python?,Python,ANIMAL,Hewan ular,Jelaskan hewan ular piton dari sisi biologis.,Ular piton adalah jenis ular besar yang tidak berbisa dan membunuh mangsanya dengan lilitan.,id-ID
NDPS007,P/H,Tolong jelaskan tentang Go.,Go,PROGRAMMING_LANGUAGE,Bahasa pemrograman Go,Jelaskan bahasa pemrograman Go (Golang) dan kelebihannya.,Go adalah bahasa pemrograman yang dikembangkan Google dengan fokus pada performa dan kemudahan concurrency.,id-ID
NDPS008,P/H,Berikan penjelasan singkat mengenai Go.,Go,VERB,Kata kerja 'pergi',Jelaskan penggunaan kata 'go' dalam bahasa Inggris dasar.,Kata 'go' dalam bahasa Inggris berarti pergi atau bergerak dari satu tempat ke tempat lain.,id-ID
NDPS009,P/H,Apa yang dimaksud dengan Windows dalam konteks ini?,Windows,OS,Sistem operasi,Jelaskan sistem operasi Microsoft Windows.,Microsoft Windows adalah sistem operasi yang banyak digunakan di komputer personal di seluruh dunia.,id-ID
NDPS010,P/H,Bisakah kamu menjelaskan Windows secara sederhana?,Windows,OBJECT,Jendela bangunan,Jelaskan fungsi jendela pada bangunan rumah.,Jendela pada bangunan berfungsi untuk memasukkan cahaya dan udara serta memberikan pandangan keluar.,id-ID
NDPS011,P/H,Apa itu Java?,Java,ISLAND,Pulau di Indonesia,Berikan informasi geografis tentang Pulau Jawa di Indonesia.,Pulau Jawa adalah salah satu pulau utama di Indonesia yang menjadi pusat pemerintahan dan ekonomi.,id-ID
NDPS012,P/H,Tolong jelaskan tentang Java.,Java,PROGRAMMING_LANGUAGE,Bahasa pemrograman,Jelaskan bahasa pemrograman Java dan kegunaannya.,Java adalah bahasa pemrograman berorientasi objek yang banyak digunakan untuk aplikasi enterprise dan Android.,id-ID
NDPS013,P/H,Berikan penjelasan singkat mengenai Apple.,Apple,ORG,Perusahaan teknologi,Berikan berita teknologi terbaru tentang Apple Inc.,"Apple Inc. adalah perusahaan teknologi yang dikenal dengan produk seperti iPhone, iPad, dan Mac.",id-ID
NDPS014,P/H,Apa yang dimaksud dengan Apple dalam konteks ini?,Apple,FRUIT,Buah apel,Jelaskan manfaat kesehatan dari buah apel.,"Apel adalah buah yang kaya serat dan vitamin, baik untuk pencernaan dan kesehatan jantung.",id-ID
NDPS015,P/H,Bisakah kamu menjelaskan Python secara sederhana?,Python,PROGRAMMING_LANGUAGE,Bahasa pemrograman,Jelaskan bahasa pemrograman Python dan kasus penggunaannya.,"Python adalah bahasa pemrograman tingkat tinggi yang populer untuk data science, web, dan otomasi.",id-ID
